case,native,sgraph,category,native_reason,sgraph_reason
TestSpec2025_Boundary_ConcurrentRequestsDoNotLeakVariables,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_EnumValues/all_declared_values_are_accepted/A,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_EnumValues/all_declared_values_are_accepted/B,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_EnumValues/all_declared_values_are_accepted/DEPRECATED_C,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_EnumValues/enum_names_are_case_sensitive,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_EnumValues/quoted_enum_literal_is_rejected,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_EnumValues/undefined_value_is_rejected,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_EnumValues/unknown_internal_result_value_is_a_field_error,FAIL,PASS,SGRAPH_FIXED,"an enum result outside the declared values must produce a field error, got map[string]interface {}{""badEnum"":interface {}(nil)}",
TestSpec2025_Boundary_FloatValues/literal_exponent_forms/-2.5,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_FloatValues/literal_exponent_forms/0.0,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_FloatValues/literal_exponent_forms/1.0,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_FloatValues/literal_exponent_forms/1.5e-3,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_FloatValues/literal_exponent_forms/1E10,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_FloatValues/literal_exponent_forms/1e10,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_FloatValues/numeric_string_is_rejected,FAIL,FAIL,BOTH_FAIL,"expected a request error, got none; data=map[string]interface {}{""echoFloat"":""1.5""}","expected a request error, got none; data=map[string]interface {}{""echoFloat"":""1.5""}"
TestSpec2025_Boundary_FloatValues/valid_inputs/huge,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_FloatValues/valid_inputs/integer_coerced,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_FloatValues/valid_inputs/negative_zero,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_FloatValues/valid_inputs/tiny,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_FloatValues/valid_inputs/zero,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_FragmentCounts/many_distinct_fragments,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_FragmentCounts/one_fragment_spread_many_times_merges,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_IDValues/boolean_input_is_rejected,FAIL,FAIL,BOTH_FAIL,"expected a request error, got none; data=map[string]interface {}{""echoID"":""string:true""}","expected a request error, got none; data=map[string]interface {}{""echoID"":""string:true""}"
TestSpec2025_Boundary_IDValues/result_always_serializes_as_a_string,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_IDValues/string_and_integer_inputs_are_accepted/integer,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_IDValues/string_and_integer_inputs_are_accepted/numeric_string,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_IDValues/string_and_integer_inputs_are_accepted/string,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_IntValues/input_boundaries/invalid_above_max,PASS,PASS,BOTH_PASS,,
TestSpec2025_Boundary_IntValues/input_boundaries/invalid_below_min,PASS,PASS,BOTH_PASS,,
